dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
200881812,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100722_4_29_1,kristiansandavis,,,,,Kristiansand,20100722,2010,,,,,,,digavis
200881952,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20130425_7_17_1,kristiansandavis,,,,,Kristiansand,20130425,2013,,,,,,,digavis
200881853,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110526_5_21_1,kristiansandavis,,,,,Kristiansand,20110526,2011,,,,,,,digavis
200881852,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110519_5_20_1,kristiansandavis,,,,,Kristiansand,20110519,2011,,,,,,,digavis
200881974,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20131017_7_42_1,kristiansandavis,,,,,Kristiansand,20131017,2013,,,,,,,digavis
200881935,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20121220_6_51_1,kristiansandavis,,,,,Kristiansand,20121220,2012,,,,,,,digavis
200881955,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20130516_7_20_1,kristiansandavis,,,,,Kristiansand,20130516,2013,,,,,,,digavis
200881803,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100520_4_20_1,kristiansandavis,,,,,Kristiansand,20100520,2010,,,,,,,digavis
200881962,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20130703_7_27_1,kristiansandavis,,,,,Kristiansand,20130703,2013,,,,,,,digavis
200881854,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110602_5_22_1,kristiansandavis,,,,,Kristiansand,20110602,2011,,,,,,,digavis
200881960,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20130620_7_25_1,kristiansandavis,,,,,Kristiansand,20130620,2013,,,,,,,digavis
200881968,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20130905_7_36_1,kristiansandavis,,,,,Kristiansand,20130905,2013,,,,,,,digavis
200881980,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20131128_7_48_1,kristiansandavis,,,,,Kristiansand,20131128,2013,,,,,,,digavis
200881800,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100429_4_17_1,kristiansandavis,,,,,Kristiansand,20100429,2010,,,,,,,digavis
200881943,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20130221_7_8_1,kristiansandavis,,,,,Kristiansand,20130221,2013,,,,,,,digavis
200881946,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20130314_7_11_1,kristiansandavis,,,,,Kristiansand,20130314,2013,,,,,,,digavis
